"Year","Month","State","ATC_Classification","Scheme","Services","Benefits"
2006,January,NSW,Alimentary Tract and Metabolism,Normal Arrangements PBS,872778,32280185
2006,January,NSW,Alimentary Tract and Metabolism,Normal Arrangements RPBS,76250,2481589
2006,January,NSW,Blood and Blood Forming Organs,Normal Arrangements PBS,236566,7702774
2006,January,NSW,Blood and Blood Forming Organs,Special Arrangements PBS,563,559561
2006,January,NSW,Blood and Blood Forming Organs,Normal Arrangements RPBS,34789,1081498
2006,January,NSW,Blood and Blood Forming Organs,Special Arrangements RPBS,144,102843
2006,January,NSW,Cardiovascular System,Normal Arrangements PBS,2077880,66116735
2006,January,NSW,Cardiovascular System,Special Arrangements PBS,97,323604
2006,January,NSW,Cardiovascular System,Normal Arrangements RPBS,161275,4911734
2006,January,NSW,Cardiovascular System,Special Arrangements RPBS,4,13439
2006,January,NSW,Dermatologicals,Normal Arrangements PBS,104529,2117277
2006,January,NSW,Dermatologicals,Normal Arrangements RPBS,15059,226628
2006,January,NSW,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,115453,2192985
2006,January,NSW,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,6934,259775
2006,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,93935,1109385
2006,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,61,190775
2006,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,7578,74722
2006,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,7,2229
2006,January,NSW,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,360903,7417779
2006,January,NSW,General Anti-Infectives for Systemic Use,Special Arrangements PBS,810,180834
2006,January,NSW,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,22289,383124
2006,January,NSW,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,3,335
2006,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,44824,18770201
2006,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,1120,3118556
2006,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,2989,1251957
2006,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,16,50250
2006,January,NSW,Musculo-Skeletal System,Normal Arrangements PBS,384599,11194983
2006,January,NSW,Musculo-Skeletal System,Special Arrangements PBS,493,205399
2006,January,NSW,Musculo-Skeletal System,Normal Arrangements RPBS,32242,1091392
2006,January,NSW,Musculo-Skeletal System,Special Arrangements RPBS,54,20346
2006,January,NSW,Nervous System,Normal Arrangements PBS,1008994,30585993
2006,January,NSW,Nervous System,Special Arrangements PBS,447,128996
2006,January,NSW,Nervous System,Normal Arrangements RPBS,82792,2029413
2006,January,NSW,Anti-Parasitic Products,Normal Arrangements PBS,4862,57293
2006,January,NSW,Anti-Parasitic Products,Normal Arrangements RPBS,588,6581
2006,January,NSW,Respiratory System,Normal Arrangements PBS,347669,14587911
2006,January,NSW,Respiratory System,Special Arrangements PBS,2,2460
2006,January,NSW,Respiratory System,Normal Arrangements RPBS,29192,1295164
2006,January,NSW,Sensory Organs,Normal Arrangements PBS,304455,4433556
2006,January,NSW,Sensory Organs,Normal Arrangements RPBS,40919,660924
2006,January,NSW,Various +,Normal Arrangements PBS,22701,1946774
2006,January,NSW,Various +,Special Arrangements PBS,5,482
2006,January,NSW,Various +,Normal Arrangements RPBS,5006,232072
2006,January,NSW,Various +,Special Arrangements RPBS,1,421
2006,January,NSW,Other ++,Normal Arrangements PBS,7991,84435
2006,January,NSW,Other ++,Normal Arrangements RPBS,7206,340165
2006,January,VIC,Alimentary Tract and Metabolism,Normal Arrangements PBS,589986,21408397
2006,January,VIC,Alimentary Tract and Metabolism,Special Arrangements PBS,2820,82565
2006,January,VIC,Alimentary Tract and Metabolism,Normal Arrangements RPBS,46732,1490644
2006,January,VIC,Alimentary Tract and Metabolism,Special Arrangements RPBS,34,921
2006,January,VIC,Blood and Blood Forming Organs,Normal Arrangements PBS,165366,4728805
2006,January,VIC,Blood and Blood Forming Organs,Special Arrangements PBS,554,464597
2006,January,VIC,Blood and Blood Forming Organs,Normal Arrangements RPBS,21335,603677
2006,January,VIC,Blood and Blood Forming Organs,Special Arrangements RPBS,132,104013
2006,January,VIC,Cardiovascular System,Normal Arrangements PBS,1387933,43158149
2006,January,VIC,Cardiovascular System,Special Arrangements PBS,49,164505
2006,January,VIC,Cardiovascular System,Normal Arrangements RPBS,97213,2831522
2006,January,VIC,Cardiovascular System,Special Arrangements RPBS,1,3362
2006,January,VIC,Dermatologicals,Normal Arrangements PBS,77691,1633219
2006,January,VIC,Dermatologicals,Normal Arrangements RPBS,8557,128670
2006,January,VIC,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,77242,1578222
2006,January,VIC,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,2845,90800
2006,January,VIC,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,62344,701801
2006,January,VIC,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,53,147733
2006,January,VIC,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,4870,45683
2006,January,VIC,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,4,8007
2006,January,VIC,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,244297,5144418
2006,January,VIC,General Anti-Infectives for Systemic Use,Special Arrangements PBS,144,27384
2006,January,VIC,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,14115,267581
2006,January,VIC,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,4,1416
2006,January,VIC,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,32149,11840577
2006,January,VIC,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,6184,4486523
2006,January,VIC,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,1982,756968
2006,January,VIC,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,87,85109
2006,January,VIC,Musculo-Skeletal System,Normal Arrangements PBS,230046,6349084
2006,January,VIC,Musculo-Skeletal System,Special Arrangements PBS,469,218056
2006,January,VIC,Musculo-Skeletal System,Normal Arrangements RPBS,17757,579342
2006,January,VIC,Musculo-Skeletal System,Special Arrangements RPBS,65,27303
2006,January,VIC,Nervous System,Normal Arrangements PBS,768624,23980620
2006,January,VIC,Nervous System,Special Arrangements PBS,376,117155
2006,January,VIC,Nervous System,Normal Arrangements RPBS,52735,1233295
2006,January,VIC,Nervous System,Special Arrangements RPBS,5,832
2006,January,VIC,Anti-Parasitic Products,Normal Arrangements PBS,1958,19157
2006,January,VIC,Anti-Parasitic Products,Normal Arrangements RPBS,303,2904
2006,January,VIC,Respiratory System,Normal Arrangements PBS,233678,9528272
2006,January,VIC,Respiratory System,Normal Arrangements RPBS,18257,842303
2006,January,VIC,Sensory Organs,Normal Arrangements PBS,185029,2682722
2006,January,VIC,Sensory Organs,Normal Arrangements RPBS,21449,344358
2006,January,VIC,Various +,Normal Arrangements PBS,20813,1504834
2006,January,VIC,Various +,Special Arrangements PBS,529,59087
2006,January,VIC,Various +,Normal Arrangements RPBS,2063,109127
2006,January,VIC,Various +,Special Arrangements RPBS,10,3021
2006,January,VIC,Other ++,Normal Arrangements PBS,5964,75258
2006,January,VIC,Other ++,Normal Arrangements RPBS,3125,173426
2006,January,QLD,Alimentary Tract and Metabolism,Normal Arrangements PBS,398509,14749203
2006,January,QLD,Alimentary Tract and Metabolism,Special Arrangements PBS,1207,47064
2006,January,QLD,Alimentary Tract and Metabolism,Normal Arrangements RPBS,42563,1403630
2006,January,QLD,Alimentary Tract and Metabolism,Special Arrangements RPBS,21,663
2006,January,QLD,Blood and Blood Forming Organs,Normal Arrangements PBS,119575,3671568
2006,January,QLD,Blood and Blood Forming Organs,Special Arrangements PBS,533,521854
2006,January,QLD,Blood and Blood Forming Organs,Normal Arrangements RPBS,18749,585357
2006,January,QLD,Blood and Blood Forming Organs,Special Arrangements RPBS,218,171556
2006,January,QLD,Cardiovascular System,Normal Arrangements PBS,928599,29536444
2006,January,QLD,Cardiovascular System,Special Arrangements PBS,30,97344
2006,January,QLD,Cardiovascular System,Normal Arrangements RPBS,86139,2639441
2006,January,QLD,Dermatologicals,Normal Arrangements PBS,37556,767303
2006,January,QLD,Dermatologicals,Normal Arrangements RPBS,9190,131847
2006,January,QLD,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,69104,1349040
2006,January,QLD,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,4209,161710
2006,January,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,48367,617545
2006,January,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,34,85558
2006,January,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,3852,40343
2006,January,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,5,12548
2006,January,QLD,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,186694,4384954
2006,January,QLD,General Anti-Infectives for Systemic Use,Special Arrangements PBS,136,61107
2006,January,QLD,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,12498,267366
2006,January,QLD,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,5,4666
2006,January,QLD,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,20991,7761347
2006,January,QLD,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,3221,2756736
2006,January,QLD,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,1499,591864
2006,January,QLD,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,70,105301
2006,January,QLD,Musculo-Skeletal System,Normal Arrangements PBS,187674,5266231
2006,January,QLD,Musculo-Skeletal System,Special Arrangements PBS,434,211711
2006,January,QLD,Musculo-Skeletal System,Normal Arrangements RPBS,17827,584629
2006,January,QLD,Musculo-Skeletal System,Special Arrangements RPBS,46,20248
2006,January,QLD,Nervous System,Normal Arrangements PBS,572299,16789285
2006,January,QLD,Nervous System,Special Arrangements PBS,81,25421
2006,January,QLD,Nervous System,Normal Arrangements RPBS,53584,1374422
2006,January,QLD,Nervous System,Special Arrangements RPBS,1,152
2006,January,QLD,Anti-Parasitic Products,Normal Arrangements PBS,1734,17727
2006,January,QLD,Anti-Parasitic Products,Normal Arrangements RPBS,298,3066
2006,January,QLD,Respiratory System,Normal Arrangements PBS,165379,6772591
2006,January,QLD,Respiratory System,Special Arrangements PBS,12,15873
2006,January,QLD,Respiratory System,Normal Arrangements RPBS,17326,754350
2006,January,QLD,Sensory Organs,Normal Arrangements PBS,133293,1863021
2006,January,QLD,Sensory Organs,Normal Arrangements RPBS,20763,319790
2006,January,QLD,Various +,Normal Arrangements PBS,10632,906070
2006,January,QLD,Various +,Special Arrangements PBS,238,27463
2006,January,QLD,Various +,Normal Arrangements RPBS,2109,105970
2006,January,QLD,Various +,Special Arrangements RPBS,1,131
2006,January,QLD,Other ++,Normal Arrangements PBS,4281,39619
2006,January,QLD,Other ++,Normal Arrangements RPBS,5742,252736
2006,January,SA,Alimentary Tract and Metabolism,Normal Arrangements PBS,168837,6049130
2006,January,SA,Alimentary Tract and Metabolism,Normal Arrangements RPBS,13877,432136
2006,January,SA,Blood and Blood Forming Organs,Normal Arrangements PBS,48209,1512477
2006,January,SA,Blood and Blood Forming Organs,Special Arrangements PBS,43,34731
2006,January,SA,Blood and Blood Forming Organs,Normal Arrangements RPBS,6346,197741
2006,January,SA,Blood and Blood Forming Organs,Special Arrangements RPBS,16,9618
2006,January,SA,Cardiovascular System,Normal Arrangements PBS,392736,12336914
2006,January,SA,Cardiovascular System,Special Arrangements PBS,24,80579
2006,January,SA,Cardiovascular System,Normal Arrangements RPBS,29671,866797
2006,January,SA,Cardiovascular System,Special Arrangements RPBS,1,3362
2006,January,SA,Dermatologicals,Normal Arrangements PBS,19397,373247
2006,January,SA,Dermatologicals,Normal Arrangements RPBS,2341,31868
2006,January,SA,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,32714,604181
2006,January,SA,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,1329,46149
2006,January,SA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,18563,217360
2006,January,SA,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,17,35622
2006,January,SA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,1333,13359
2006,January,SA,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,64070,1208167
2006,January,SA,General Anti-Infectives for Systemic Use,Special Arrangements PBS,28,14492
2006,January,SA,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,3391,57102
2006,January,SA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,8911,3916241
2006,January,SA,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,169,555214
2006,January,SA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,537,244013
2006,January,SA,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,4,14506
2006,January,SA,Musculo-Skeletal System,Normal Arrangements PBS,71193,2027008
2006,January,SA,Musculo-Skeletal System,Special Arrangements PBS,87,36263
2006,January,SA,Musculo-Skeletal System,Normal Arrangements RPBS,5470,174953
2006,January,SA,Musculo-Skeletal System,Special Arrangements RPBS,2,815
2006,January,SA,Nervous System,Normal Arrangements PBS,240042,7339184
2006,January,SA,Nervous System,Special Arrangements PBS,61,15942
2006,January,SA,Nervous System,Normal Arrangements RPBS,16972,415480
2006,January,SA,Anti-Parasitic Products,Normal Arrangements PBS,457,4861
2006,January,SA,Anti-Parasitic Products,Normal Arrangements RPBS,63,600
2006,January,SA,Respiratory System,Normal Arrangements PBS,69682,2790528
2006,January,SA,Respiratory System,Normal Arrangements RPBS,5629,251852
2006,January,SA,Sensory Organs,Normal Arrangements PBS,51528,746345
2006,January,SA,Sensory Organs,Normal Arrangements RPBS,6609,105133
2006,January,SA,Various +,Normal Arrangements PBS,3815,286270
2006,January,SA,Various +,Special Arrangements PBS,2,923
2006,January,SA,Various +,Normal Arrangements RPBS,223,10663
2006,January,SA,Other ++,Normal Arrangements PBS,1114,10327
2006,January,SA,Other ++,Normal Arrangements RPBS,899,40460
2006,January,WA,Alimentary Tract and Metabolism,Normal Arrangements PBS,198839,7153508
2006,January,WA,Alimentary Tract and Metabolism,Normal Arrangements RPBS,16690,531731
2006,January,WA,Blood and Blood Forming Organs,Normal Arrangements PBS,58182,1917776
2006,January,WA,Blood and Blood Forming Organs,Special Arrangements PBS,173,167007
2006,January,WA,Blood and Blood Forming Organs,Normal Arrangements RPBS,7303,233277
2006,January,WA,Blood and Blood Forming Organs,Special Arrangements RPBS,34,25206
2006,January,WA,Cardiovascular System,Normal Arrangements PBS,478193,15080916
2006,January,WA,Cardiovascular System,Special Arrangements PBS,5,16797
2006,January,WA,Cardiovascular System,Normal Arrangements RPBS,34710,1057177
2006,January,WA,Cardiovascular System,Special Arrangements RPBS,2,6715
2006,January,WA,Dermatologicals,Normal Arrangements PBS,20713,451112
2006,January,WA,Dermatologicals,Normal Arrangements RPBS,3154,44362
2006,January,WA,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,33293,706913
2006,January,WA,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,1675,70481
2006,January,WA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,22372,283469
2006,January,WA,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,35,74110
2006,January,WA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,1413,14388
2006,January,WA,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,2,4664
2006,January,WA,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,75606,1832476
2006,January,WA,General Anti-Infectives for Systemic Use,Special Arrangements PBS,48,18007
2006,January,WA,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,4000,70762
2006,January,WA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,11893,5001935
2006,January,WA,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,619,1578739
2006,January,WA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,641,225746
2006,January,WA,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,15,38415
2006,January,WA,Musculo-Skeletal System,Normal Arrangements PBS,89596,2323528
2006,January,WA,Musculo-Skeletal System,Special Arrangements PBS,180,87977
2006,January,WA,Musculo-Skeletal System,Normal Arrangements RPBS,6923,205524
2006,January,WA,Musculo-Skeletal System,Special Arrangements RPBS,15,6678
2006,January,WA,Nervous System,Normal Arrangements PBS,297993,8543549
2006,January,WA,Nervous System,Special Arrangements PBS,37,13205
2006,January,WA,Nervous System,Normal Arrangements RPBS,21095,507857
2006,January,WA,Anti-Parasitic Products,Normal Arrangements PBS,649,9427
2006,January,WA,Anti-Parasitic Products,Normal Arrangements RPBS,104,971
2006,January,WA,Respiratory System,Normal Arrangements PBS,71028,2933987
2006,January,WA,Respiratory System,Normal Arrangements RPBS,5932,267145
2006,January,WA,Sensory Organs,Normal Arrangements PBS,61344,859199
2006,January,WA,Sensory Organs,Normal Arrangements RPBS,7886,120314
2006,January,WA,Various +,Normal Arrangements PBS,3738,317188
2006,January,WA,Various +,Special Arrangements PBS,6,5039
2006,January,WA,Various +,Normal Arrangements RPBS,357,17738
2006,January,WA,Other ++,Normal Arrangements PBS,1425,12905
2006,January,WA,Other ++,Normal Arrangements RPBS,1366,65069
2006,January,TAS,Alimentary Tract and Metabolism,Normal Arrangements PBS,56033,2097795
2006,January,TAS,Alimentary Tract and Metabolism,Normal Arrangements RPBS,6073,199085
2006,January,TAS,Blood and Blood Forming Organs,Normal Arrangements PBS,15219,444906
2006,January,TAS,Blood and Blood Forming Organs,Special Arrangements PBS,34,24415
2006,January,TAS,Blood and Blood Forming Organs,Normal Arrangements RPBS,2703,69560
2006,January,TAS,Blood and Blood Forming Organs,Special Arrangements RPBS,12,7341
2006,January,TAS,Cardiovascular System,Normal Arrangements PBS,128794,3949972
2006,January,TAS,Cardiovascular System,Special Arrangements PBS,7,21778
2006,January,TAS,Cardiovascular System,Normal Arrangements RPBS,12633,365739
2006,January,TAS,Dermatologicals,Normal Arrangements PBS,6267,122720
2006,January,TAS,Dermatologicals,Normal Arrangements RPBS,1199,16543
2006,January,TAS,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,10616,195832
2006,January,TAS,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,482,13503
2006,January,TAS,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,8211,94127
2006,January,TAS,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,785,6485
2006,January,TAS,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,21509,421876
2006,January,TAS,General Anti-Infectives for Systemic Use,Special Arrangements PBS,2,2477
2006,January,TAS,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,1572,37180
2006,January,TAS,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,3243,1205088
2006,January,TAS,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,36,100806
